Modelo,Accuracy,F1-Macro,F1-Weighted,Precision,Recall,Top-3 Acc,Tempo Treino (s),Tempo Pred (s),Status
SVM Linear,0.4470588235294118,0.36343825665859564,0.4297105508870214,0.36857344632768363,0.38841807909604514,,0.5590908527374268,0.0028939247131347656,✅ OK
Similaridade,0.4235294117647059,0.34727747639140044,0.41493930905695614,0.3564697609001406,0.3635724331926864,0.5333333333333333,1.430511474609375e-06,0.26058197021484375,✅ OK
MLP + S-BERT,0.30980392156862746,0.22991803278688522,0.28627450980392155,0.22807377049180327,0.26058743169398907,0.1803921568627451,7.282014608383179,0.018114805221557617,✅ OK
LightGBM,0.26666666666666666,0.19776556776556775,0.25641456582633054,0.20205128205128203,0.21346153846153845,0.17254901960784313,42.80788278579712,0.338454008102417,✅ OK
Regressão Logística,0.16862745098039217,0.14678004535147393,0.1456769374416433,0.1422795945687512,0.16904761904761906,0.12549019607843137,2.9077935218811035,0.008426666259765625,✅ OK
K-Means,0.0,0.0,0.0,0.0,0.0,,4.3472580909729,0.01882791519165039,✅ OK
